Symbol	Entrez	Name	Organism	HugoSymbol	Signature	logFC	adj.P.Val	CoreEnrichment
Akr1b8	14187	aldo-keto reductase family 1, member B8	mouse	AKR1B10	TIS up	1.146442	0.00758207	
Cdkn1a	12575	cyclin-dependent kinase inhibitor 1A (P21)	mouse	CDKN1A	TIS up	1.146323	0.0001475998	
Fam114a1	68303	family with sequence similarity 114, member A1	mouse	FAM114A1	TIS up	1.14465	0.0001167844	yes
Clmp	71566	CXADR-like membrane protein	mouse	CLMP	TIS up	1.143015	0.0001237551	
Eno2	13807	enolase 2, gamma neuronal	mouse	ENO2	TIS up	1.142528	0.0001358721	
Lin9	72568	lin-9 homolog (C. elegans)	mouse	LIN9	TIS down	-1.14229	0.00000006711071	
Snx7	76561	sorting nexin 7	mouse	SNX7	TIS up	1.141034	0.0003927852	yes
Por	18984	P450 (cytochrome) oxidoreductase	mouse	POR	TIS up	1.141011	0.000001656064	
Dnmt1	13433	DNA methyltransferase (cytosine-5) 1	mouse	DNMT1	TIS down	-1.140535	0.000000001990825	
Dhrs3	20148	dehydrogenase/reductase (SDR family) member 3	mouse	DHRS3	TIS up	1.140387	0.0007593545	
Impact	16210	impact, RWD domain protein	mouse	IMPACT	TIS up	1.13909	0.00000001915352	
Pole2	18974	polymerase (DNA directed), epsilon 2 (p59 subunit)	mouse	POLE2	TIS down	-1.13852	0.0000001861938	
Tnf	21926	tumor necrosis factor	mouse	TNF	TIS up	1.137535	0.0001404952	
Gas2l1	78926	growth arrest-specific 2 like 1	mouse	GAS2L1	TIS up	1.137365	0.0004370295	
Slc6a12	14411	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12	mouse	SLC6A12	TIS up	1.136998	0.00003549337	
Cks2	66197	CDC28 protein kinase regulatory subunit 2	mouse	CKS2	TIS down	-1.13669	0.000000001801056	
Cdc25c	12532	cell division cycle 25C	mouse	CDC25C	TIS down	-1.136183	0.000000001956971	
4930579G24Rik	75939	RIKEN cDNA 4930579G24 gene	mouse	C4orf46	TIS down	-1.134508	0.000002806252	
Cpq	54381	carboxypeptidase Q	mouse	CPQ	TIS up	1.133917	0.004064521	
Rhou	69581	ras homolog family member U	mouse	RHOU	TIS up	1.131917	0.00001990575	
Grn	14824	granulin	mouse	GRN	TIS up	1.12936	0.00005546877	
Fgfr1	14182	fibroblast growth factor receptor 1	mouse	FGFR1	TIS up	1.128752	0.0002588072	
Mx1	17857	MX dynamin-like GTPase 1	mouse	MX1	TIS up	1.128389	0.004272355	
Dut	110074	deoxyuridine triphosphatase	mouse	DUT	TIS down	-1.128222	0.000000001477548	
Ms4a6b	69774	membrane-spanning 4-domains, subfamily A, member 6B	mouse		TIS up	1.128075	0.001185852	
Tjp1	21872	tight junction protein 1	mouse	TJP1	TIS up	1.127139	0.001732708	
4833427G06Rik	235345	RIKEN cDNA 4833427G06 gene	mouse	C11orf88	TIS up	1.126466	0.0003135189	
Socs5	56468	suppressor of cytokine signaling 5	mouse	SOCS5	TIS up	1.124856	0.00002801217	
Fcgr3	14131	Fc receptor, IgG, low affinity III	mouse	FCGR2A	TIS up	1.124598	0.0003803026	
Flna	192176	filamin, alpha	mouse	FLNA	TIS up	1.12447	0.0000126791	
Cmtm3	68119	CKLF-like MARVEL transmembrane domain containing 3	mouse	CMTM3	TIS up	1.123975	0.0001535044	
Hjurp	381280	Holliday junction recognition protein	mouse	HJURP	TIS down	-1.123887	0.000002460624	
Nmral1	67824	NmrA-like family domain containing 1	mouse	NMRAL1	TIS down	-1.122887	0.0000000006229369	
Cenpl	70454	centromere protein L	mouse	CENPL	TIS down	-1.122089	0.0000006134029	
Ank	11732	progressive ankylosis	mouse	ANKH	TIS up	1.121462	0.00000006202377	
Dhfr	13361	dihydrofolate reductase	mouse	DHFR	TIS down	-1.121161	0.00000004889357	
Npdc1	18146	neural proliferation, differentiation and control 1	mouse	NPDC1	TIS up	1.120562	0.0001395911	
Nup37	69736	nucleoporin 37	mouse	NUP37	TIS down	-1.11928	0.000000000003113865	
Nup85	445007	nucleoporin 85	mouse	NUP85	TIS down	-1.118786	0.000000327426	
Tfdp2	211586	transcription factor Dp 2	mouse	TFDP2	TIS down	-1.118103	0.00000189753	
Smc6	67241	structural maintenance of chromosomes 6	mouse	SMC6	TIS down	-1.117294	0.00000004191829	
Rassf6	73246	Ras association (RalGDS/AF-6) domain family member 6	mouse	RASSF6	TIS down	-1.11616	0.002494519	
Gab2	14389	growth factor receptor bound protein 2-associated protein 2	mouse	GAB2	TIS up	1.112681	0.008911238	
Cenpm	66570	centromere protein M	mouse	CENPM	TIS down	-1.11244	0.00000000008953425	
P4ha2	18452	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide	mouse	P4HA2	TIS up	1.112041	0.008524771	
G2e3	217558	G2/M-phase specific E3 ubiquitin ligase	mouse	G2E3	TIS down	-1.111816	0.0000001833167	
Dbf4	27214	DBF4 zinc finger	mouse	DBF4	TIS down	-1.111623	0.0000000001418453	
Cox6b2	333182	cytochrome c oxidase subunit VIb polypeptide 2	mouse	COX6B2	TIS up	1.111617	0.007346702	
Pole	18973	polymerase (DNA directed), epsilon	mouse	POLE	TIS down	-1.111154	0.00000057813	
Trim59	66949	tripartite motif-containing 59	mouse	TRIM59	TIS down	-1.110141	0.000002348448	
Cks1b	54124	CDC28 protein kinase 1b	mouse	CKS1B	TIS down	-1.109522	0.000000001203025	
Dnajc9	108671	DnaJ heat shock protein family (Hsp40) member C9	mouse	DNAJC9	TIS down	-1.108254	0.000000006174826	
Ddb2	107986	damage specific DNA binding protein 2	mouse	DDB2	TIS down	-1.107798	0.000003833946	
Psmc3ip	19183	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein	mouse	PSMC3IP	TIS down	-1.107761	0.0000003437033	
Gjc1	14615	gap junction protein, gamma 1	mouse	GJC1	TIS up	1.105832	0.0004178823	
Tax1bp3	76281	Tax1 (human T cell leukemia virus type I) binding protein 3	mouse	TAX1BP3	TIS up	1.103584	0.000648636	
Uchl1	22223	ubiquitin carboxy-terminal hydrolase L1	mouse	UCHL1	TIS up	1.103308	0.006432336	
Ly96	17087	lymphocyte antigen 96	mouse	LY96	TIS up	1.102757	0.00001443795	
Nagk	56174	N-acetylglucosamine kinase	mouse	NAGK	TIS up	1.102715	0.000111917	
Ccdc80	67896	coiled-coil domain containing 80	mouse	CCDC80	TIS up	1.101695	0.0000525543	
Cyp2c55	72082	cytochrome P450, family 2, subfamily c, polypeptide 55	mouse	CYP2C18	TIS up	1.098962	0.003279353	
Rpa2	19891	replication protein A2	mouse	RPA2	TIS down	-1.098687	0.00000009385819	
Pdgfc	54635	platelet-derived growth factor, C polypeptide	mouse	PDGFC	TIS up	1.098521	0.0007738466	
Rin1	225870	Ras and Rab interactor 1	mouse	RIN1	TIS up	1.097802	0.0002276331	
Anxa5	11747	annexin A5	mouse	ANXA5	TIS up	1.096767	0.001017838	
Trim30d	209387	tripartite motif-containing 30D	mouse		TIS up	1.094216	0.002460319	
Cndp2	66054	CNDP dipeptidase 2 (metallopeptidase M20 family)	mouse	CNDP2	TIS up	1.094157	0.000002835567	
4933404O12Rik	66752	RIKEN cDNA 4933404O12 gene	mouse		TIS down	-1.091636	0.00000005996991	
Dek	110052	DEK oncogene (DNA binding)	mouse	DEK	TIS down	-1.089347	0.000000001436639	
Fez1	235180	fasciculation and elongation protein zeta 1 (zygin I)	mouse	FEZ1	TIS up	1.088412	0.0005512307	
Mdm1	17245	transformed mouse 3T3 cell double minute 1	mouse	MDM1	TIS down	-1.08838	0.0001965458	
Orc1	18392	origin recognition complex, subunit 1	mouse	ORC1	TIS down	-1.0868	0.0000004908486	
Fas	14102	Fas (TNF receptor superfamily member 6)	mouse	FAS	TIS up	1.085526	0.0000399694	
Smc2	14211	structural maintenance of chromosomes 2	mouse	SMC2	TIS down	-1.08544	0.0000001528535	
Dcps	69305	decapping enzyme, scavenger	mouse	DCPS	TIS down	-1.08501	0.0000000000005443945	
Rnf149	67702	ring finger protein 149	mouse	RNF149	TIS up	1.084636	0.0001097733	
Fam20c	80752	family with sequence similarity 20, member C	mouse	FAM20C	TIS up	1.083473	0.0008090799	
Slit2	20563	slit guidance ligand 2	mouse	SLIT2	TIS up	1.082969	0.0009110761	
Ptgfrn	19221	prostaglandin F2 receptor negative regulator	mouse	PTGFRN	TIS up	1.082653	0.00284156	
Pimreg	109212	PICALM interacting mitotic regulator	mouse	PIMREG	TIS down	-1.081563	0.0001408744	
Tpp1	12751	tripeptidyl peptidase I	mouse	TPP1	TIS up	1.0811	0.0000000002129101	
Ankrd37	654824	ankyrin repeat domain 37	mouse	ANKRD37	TIS down	-1.080958	0.007522329	
2700099C18Rik	77022	NDC80 homolog, kinetochore complex component pseudogene	mouse		TIS down	-1.080549	0.0003175882	
Plb1	665270	phospholipase B1	mouse	PLB1	TIS up	1.080334	0.00000220714	
Foxm1	14235	forkhead box M1	mouse	FOXM1	TIS down	-1.078019	0.00000475292	
Mcm4	17217	minichromosome maintenance complex component 4	mouse	MCM4	TIS down	-1.077693	0.00000004704647	
Atp6v0c	11984	ATPase, H+ transporting, lysosomal V0 subunit C	mouse	ATP6V0C	TIS up	1.077609	0.0000001456869	
Hist1h2bc	68024	histone cluster 1, H2bc	mouse	HIST1H2BI	TIS up	1.076153	0.0001024438	
Xaf1	327959	XIAP associated factor 1	mouse	XAF1	TIS up	1.073045	0.003551633	yes
2010204K13Rik	68355	RIKEN cDNA 2010204K13 gene	mouse		TIS down	-1.072281	0.0000000935806	
Prim2	19076	DNA primase, p58 subunit	mouse	PRIM2	TIS down	-1.072168	0.0003974937	
Ska2	66140	spindle and kinetochore associated complex subunit 2	mouse	SKA2	TIS down	-1.070706	0.0000003859141	
Psen2	19165	presenilin 2	mouse	PSEN2	TIS up	1.069681	0.00000317251	
Cit	12704	citron	mouse	CIT	TIS down	-1.069155	0.000001374848	
Ltbp2	16997	latent transforming growth factor beta binding protein 2	mouse	LTBP2	TIS up	1.06875	0.0003004878	
Cenpn	72155	centromere protein N	mouse	CENPN	TIS down	-1.068551	0.0000000111338	
Zbtb4	75580	zinc finger and BTB domain containing 4	mouse	ZBTB4	TIS up	1.068486	0.0000005218826	
P3h4	66180	prolyl 3-hydroxylase family member 4 (non-enzymatic)	mouse	P3H4	TIS up	1.068355	0.0002424001	
Vrk1	22367	vaccinia related kinase 1	mouse	VRK1	TIS down	-1.067892	0.00000000003387381	
Cd80	12519	CD80 antigen	mouse	CD80	TIS up	1.066766	0.0002484547	
Gsn	227753	gelsolin	mouse	GSN	TIS up	1.06667	0.008057788	
Larp1b	214048	La ribonucleoprotein domain family, member 1B	mouse	LARP1B	TIS down	-1.066653	0.000000004041831	
St3gal2	20444	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	mouse	ST3GAL2	TIS up	1.065612	0.00008773608	
Asb2	65256	ankyrin repeat and SOCS box-containing 2	mouse	ASB2	TIS up	1.065524	0.00429111	
Eme1	268465	essential meiotic structure-specific endonuclease 1	mouse	EME1	TIS down	-1.065115	0.0000002806861	
Arl8a	68724	ADP-ribosylation factor-like 8A	mouse	ARL8A	TIS up	1.063852	0.00000000001470229	
Nab2	17937	Ngfi-A binding protein 2	mouse	NAB2	TIS up	1.063401	0.000001146301	
Zswim8	268721	zinc finger SWIM-type containing 8	mouse	ZSWIM8	TIS up	1.062629	0.0000000001738114	
Mis18a	66578	MIS18 kinetochore protein A	mouse	MIS18A	TIS down	-1.061945	0.000000001077284	
Trip6	22051	thyroid hormone receptor interactor 6	mouse	TRIP6	TIS up	1.061496	0.000003465188	
Selenop	20363	selenoprotein P	mouse	SELENOP	TIS up	1.061403	0.003524535	
Jdp2	81703	Jun dimerization protein 2	mouse	JDP2	TIS up	1.061258	0.007207653	
Lpp	210126	LIM domain containing preferred translocation partner in lipoma	mouse	LPP	TIS up	1.060781	0.002865607	
Incenp	16319	inner centromere protein	mouse	INCENP	TIS down	-1.060248	0.0000001625528	
Myo1b	17912	myosin IB	mouse	MYO1B	TIS up	1.060161	0.001144412	
Npr2	230103	natriuretic peptide receptor 2	mouse	NPR2	TIS up	1.059735	0.00001050135	
Mcm3	17215	minichromosome maintenance complex component 3	mouse	MCM3	TIS down	-1.059525	0.000000009259888	
Alg6	320438	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	mouse	ALG6	TIS down	-1.058366	0.000000006005888	
Pcdh19	279653	protocadherin 19	mouse	PCDH19	TIS up	1.05745	0.001624612	
G6pd2	14380	glucose-6-phosphate dehydrogenase 2	mouse		TIS up	1.056987	0.003583145	
Rad18	58186	RAD18 E3 ubiquitin protein ligase	mouse	RAD18	TIS down	-1.056794	0.00000006945615	
Gsap	212167	gamma-secretase activating protein	mouse	GSAP	TIS up	1.056452	0.000001542197	
Cd38	12494	CD38 antigen	mouse	CD38	TIS up	1.055937	0.004747212	yes
Msr1	20288	macrophage scavenger receptor 1	mouse	MSR1	TIS up	1.055602	0.003791981	
Naip5	17951	NLR family, apoptosis inhibitory protein 5	mouse		TIS up	1.054862	0.001559253	
Ott	18422	ovary testis transcribed	mouse		TIS up	1.054813	0.004606303	
Impa2	114663	inositol (myo)-1(or 4)-monophosphatase 2	mouse	IMPA2	TIS down	-1.053263	0.0000000000005443945	
Nasp	50927	nuclear autoantigenic sperm protein (histone-binding)	mouse	NASP	TIS down	-1.052951	0.000000008346689	
Slc43a2	215113	solute carrier family 43, member 2	mouse	SLC43A2	TIS up	1.052261	0.00001095898	
H2afv	77605	H2A histone family, member V	mouse	H2AFV	TIS down	-1.049892	0.0000002628371	
Lacc1	210808	laccase domain containing 1	mouse	LACC1	TIS up	1.049645	0.00003517537	
Cenpq	83815	centromere protein Q	mouse	CENPQ	TIS down	-1.049643	0.000000000008330796	
Jade1	269424	jade family PHD finger 1	mouse	JADE1	TIS down	-1.049005	0.000000004247601	
Myl4	17896	myosin, light polypeptide 4	mouse	MYL4	TIS down	-1.048816	0.004792673	
Igf2r	16004	insulin-like growth factor 2 receptor	mouse	IGF2R	TIS up	1.047382	0.00000004334322	
Dubr	68190	Dppa2 upstream binding RNA	mouse	DUBR	TIS up	1.047222	0.0007514189	
Trafd1	231712	TRAF type zinc finger domain containing 1	mouse	TRAFD1	TIS up	1.046756	0.000000576051	
Map4k3	225028	mitogen-activated protein kinase kinase kinase kinase 3	mouse	MAP4K3	TIS up	1.046614	0.00009643997	
Cox7a1	12865	cytochrome c oxidase subunit VIIa 1	mouse	COX7A1	TIS down	-1.04576	0.002173108	
Cd22	12483	CD22 antigen	mouse	CD22	TIS down	-1.044724	0.0001312353	
Ugdh	22235	UDP-glucose dehydrogenase	mouse	UGDH	TIS up	1.044094	0.0003049902	
Oas2	246728	2'-5' oligoadenylate synthetase 2	mouse	OAS2	TIS up	1.043896	0.0002861111	
Cytip	227929	cytohesin 1 interacting protein	mouse	CYTIP	TIS down	-1.042371	0.0001245964	
Clcn7	26373	chloride channel, voltage-sensitive 7	mouse	CLCN7	TIS up	1.040869	0.000000004219715	
Ptgis	19223	prostaglandin I2 (prostacyclin) synthase	mouse	PTGIS	TIS up	1.040192	0.0004710493	
Arhgap11a	228482	Rho GTPase activating protein 11A	mouse	ARHGAP11A	TIS down	-1.039661	0.000000001632023	
Samd4	74480	sterile alpha motif domain containing 4	mouse	SAMD4A	TIS up	1.03956	0.001047674	
Mcm6	17219	minichromosome maintenance complex component 6	mouse	MCM6	TIS down	-1.038783	0.000000001673951	
Maged1	94275	melanoma antigen, family D, 1	mouse	MAGED1	TIS up	1.038517	0.002419985	
Coro1b	23789	coronin, actin binding protein 1B	mouse	CORO1B	TIS up	1.038185	0.000001556824	
Cebpb	12608	CCAAT/enhancer binding protein (C/EBP), beta	mouse	CEBPB	TIS up	1.037782	0.0001431458	
Il1a	16175	interleukin 1 alpha	mouse	IL1A	TIS up	1.036937	0.005563419	
LOC67527	67527	murine leukemia retrovirus	mouse		TIS down	-1.035847	0.0002112549	
Topbp1	235559	topoisomerase (DNA) II binding protein 1	mouse	TOPBP1	TIS down	-1.034713	0.0000000003409568	
U90926	57425	cDNA sequence U90926	mouse		TIS up	1.031212	0.003942861	
Cpsf2	51786	cleavage and polyadenylation specific factor 2	mouse	CPSF2	TIS down	-1.031036	0.0002119315	
Haus1	225745	HAUS augmin-like complex, subunit 1	mouse	HAUS1	TIS down	-1.030093	0.00000000000002544439	
Lst1	16988	leukocyte specific transcript 1	mouse	LST1	TIS up	1.028433	0.004124212	
Gla	11605	galactosidase, alpha	mouse	GLA	TIS up	1.026996	0.00001483046	
Pbxip1	229534	pre B cell leukemia transcription factor interacting protein 1	mouse	PBXIP1	TIS up	1.026674	0.0001646162	
Trim30a	20128	tripartite motif-containing 30A	mouse		TIS up	1.025559	0.002221923	
Runx2	12393	runt related transcription factor 2	mouse	RUNX2	TIS up	1.025389	0.007011207	
Ets2	23872	E26 avian leukemia oncogene 2, 3' domain	mouse	ETS2	TIS up	1.024315	0.0001058399	
Emp2	13731	epithelial membrane protein 2	mouse	EMP2	TIS up	1.024252	0.00122072	
Prr11	270906	proline rich 11	mouse	PRR11	TIS down	-1.0237	0.0000001008266	
B3galnt1	26879	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1	mouse	B3GALNT1	TIS up	1.022247	0.005094241	
Ezh2	14056	enhancer of zeste 2 polycomb repressive complex 2 subunit	mouse	EZH2	TIS down	-1.02109	0.0000005057069	
Aldh3a1	11670	aldehyde dehydrogenase family 3, subfamily A1	mouse	ALDH3A1	TIS up	1.0203	0.002029518	
Capn2	12334	calpain 2	mouse	CAPN2	TIS up	1.020282	0.005080436	
Kcnk5	16529	potassium channel, subfamily K, member 5	mouse	KCNK5	TIS down	-1.020238	0.0000003589022	
Slc4a2	20535	solute carrier family 4 (anion exchanger), member 2	mouse	SLC4A2	TIS up	1.019396	0.00000001066671	
Col8a1	12837	collagen, type VIII, alpha 1	mouse	COL8A1	TIS up	1.018084	0.000455194	
Sbno2	216161	strawberry notch 2	mouse	SBNO2	TIS up	1.014737	0.0000005939771	
Mfap5	50530	microfibrillar associated protein 5	mouse	MFAP5	TIS up	1.01471	0.0002853523	
Vgll3	73569	vestigial like family member 3	mouse	VGLL3	TIS up	1.01393	0.002335426	
Hnrnpa1	15382	heterogeneous nuclear ribonucleoprotein A1	mouse	HNRNPA1	TIS down	-1.013877	0.00000000001470229	
Pold1	18971	polymerase (DNA directed), delta 1, catalytic subunit	mouse	POLD1	TIS down	-1.013792	0.00000006698305	
Pradc1	73327	protease-associated domain containing 1	mouse	PRADC1	TIS down	-1.013506	0.0000000001786949	
Timeless	21853	timeless circadian clock 1	mouse	TIMELESS	TIS down	-1.013456	0.000001013321	
Tbc1d9	71310	TBC1 domain family, member 9	mouse	TBC1D9	TIS up	1.012331	0.000001875553	
Nemp2	227094	nuclear envelope integral membrane protein 2	mouse	NEMP2	TIS down	-1.011299	0.00000188194	
Ap1s2	108012	adaptor-related protein complex 1, sigma 2 subunit	mouse	AP1S2	TIS up	1.011285	0.00003382304	
Plek	56193	pleckstrin	mouse	PLEK	TIS up	1.00951	0.0005100808	
Il18	16173	interleukin 18	mouse	IL18	TIS up	1.009455	0.003597864	
Haus5	71909	HAUS augmin-like complex, subunit 5	mouse	HAUS5	TIS down	-1.009416	0.0000004700499	
Gba	14466	glucosidase, beta, acid	mouse	GBA	TIS up	1.008577	0.000000111767	
Syde2	214804	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	mouse	SYDE2	TIS down	-1.005907	0.00005661623	
P2rx7	18439	purinergic receptor P2X, ligand-gated ion channel, 7	mouse	P2RX7	TIS up	1.004634	0.0000008972247	
Usp1	230484	ubiquitin specific peptidase 1	mouse	USP1	TIS down	-1.002941	0.0000000009840253	
Nrarp	67122	Notch-regulated ankyrin repeat protein	mouse	NRARP	TIS down	-1.002077	0.0000004874926	
Slc41a2	338365	solute carrier family 41, member 2	mouse	SLC41A2	TIS up	1.001676	0.001066138	
Lsm5	66373	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	mouse	LSM5	TIS down	-1.001076	0.00000000001470229	
Dctpp1	66422	dCTP pyrophosphatase 1	mouse	DCTPP1	TIS down	-1.000918	0.000000002050739	
CXCL6	6372	C-X-C motif chemokine ligand 6	human	CXCL6	TIS up	2.898634	0.00001117742	
LCN2	3934	lipocalin 2	human	LCN2	TIS up	2.859644	0.00009543038	
MS4A6A	64231	membrane spanning 4-domains A6A	human	MS4A6A	TIS up	2.814994	0.00003470333	
CALD1	800	caldesmon 1	human	CALD1	TIS up	2.778007	0.00003718422	
MMP13	4322	matrix metallopeptidase 13	human	MMP13	TIS up	2.746994	0.0004901297	
FKBP9	11328	FK506 binding protein 9	human	FKBP9	TIS up	2.584913	0.0001227204	yes
FN1	2335	fibronectin 1	human	FN1	TIS up	2.555608	0.00002247779	
TM4SF1	4071	transmembrane 4 L six family member 1	human	TM4SF1	TIS up	2.520573	0.00005289661	
AHNAK2	113146	AHNAK nucleoprotein 2	human	AHNAK2	TIS up	2.50079	0.0000000008096004	
LOX	4015	lysyl oxidase	human	LOX	TIS up	2.463017	0.00005308203	
CTGF	1490	connective tissue growth factor	human	CTGF	TIS up	2.453915	0.00004456888	
EFEMP1	2202	EGF containing fibulin extracellular matrix protein 1	human	EFEMP1	TIS up	2.433929	0.0006730466	
GRB10	2887	growth factor receptor bound protein 10	human	GRB10	TIS up	2.411149	0.0000002656742	
ACOD1	730249	aconitate decarboxylase 1	human	ACOD1	TIS up	2.394205	0.001130354	
CPE	1363	carboxypeptidase E	human	CPE	TIS up	2.393632	0.000251804	
PCLAF	9768	PCNA clamp associated factor	human	PCLAF	TIS down	-2.377645	0.0000000001800223	
MMP12	4321	matrix metallopeptidase 12	human	MMP12	TIS up	2.371496	0.001688357	
PTGS2	5743	prostaglandin-endoperoxide synthase 2	human	PTGS2	TIS up	2.361145	0.0004984336	
CXCL2	2920	C-X-C motif chemokine ligand 2	human	CXCL2	TIS up	2.361029	0.00004515191	
BGN	633	biglycan	human	BGN	TIS up	2.348309	0.0001124562	
IL6	3569	interleukin 6	human	IL6	TIS up	2.338817	0.0003208822	
CTTN	2017	cortactin	human	CTTN	TIS up	2.326155	0.00007077802	
CXCL3	2921	C-X-C motif chemokine ligand 3	human	CXCL3	TIS up	2.29817	0.000236658	
F2R	2149	coagulation factor II thrombin receptor	human	F2R	TIS up	2.265901	0.00007686468	yes
PRSS23	11098	serine protease 23	human	PRSS23	TIS up	2.258889	0.00009207577	
KITLG	4254	KIT ligand	human	KITLG	TIS up	2.246339	0.0001041783	
NID1	4811	nidogen 1	human	NID1	TIS up	2.237298	0.00004565297	
HMGA2	8091	high mobility group AT-hook 2	human	HMGA2	TIS up	2.228894	0.000004197578	
MS4A7	58475	membrane spanning 4-domains A7	human	MS4A7	TIS up	2.21944	0.00005367595	
CLEC4D	338339	C-type lectin domain family 4 member D	human	CLEC4D	TIS up	2.181453	0.007437957	
SPP1	6696	secreted phosphoprotein 1	human	SPP1	TIS up	2.179141	0.0002217647	
CENPE	1062	centromere protein E	human	CENPE	TIS down	-2.172217	0.00000008394264	
MMP8	4317	matrix metallopeptidase 8	human	MMP8	TIS up	2.170397	0.0008637316	
EREG	2069	epiregulin	human	EREG	TIS up	2.165201	0.000112854	
FAM198B	51313	family with sequence similarity 198 member B	human	FAM198B	TIS up	2.131812	0.000008081863	
LYZ	4069	lysozyme	human	LYZ	TIS up	2.120467	0.004604871	
KIF11	3832	kinesin family member 11	human	KIF11	TIS down	-2.102334	0.0000000002051533	
AURKB	9212	aurora kinase B	human	AURKB	TIS down	-2.093298	0.00000000006393613	
PRNP	5621	prion protein	human	PRNP	TIS up	2.084462	0.0004004913	
CCL13	6357	C-C motif chemokine ligand 13	human	CCL13	TIS up	2.082268	0.0003527052	
FPR1	2357	formyl peptide receptor 1	human	FPR1	TIS up	2.076831	0.0006486039	
SERPINH1	871	serpin family H member 1	human	SERPINH1	TIS up	2.063537	0.00001803489	
EMP1	2012	epithelial membrane protein 1	human	EMP1	TIS up	2.06095	0.001995995	
CFP	5199	complement factor properdin	human	CFP	TIS up	2.059685	0.0000279356	
CENPP	401541	centromere protein P	human	CENPP	TIS down	-2.059559	0.000000000005561103	
CCNB2	9133	cyclin B2	human	CCNB2	TIS down	-2.051219	0.0000000002005504	
PLIN2	123	perilipin 2	human	PLIN2	TIS up	2.043801	0.00001570458	
FGF7	2252	fibroblast growth factor 7	human	FGF7	TIS up	2.031331	0.00007689269	
COL1A2	1278	collagen type I alpha 2 chain	human	COL1A2	TIS up	2.028365	0.001203794	
AXL	558	AXL receptor tyrosine kinase	human	AXL	TIS up	2.02805	0.000009874584	
VASN	114990	vasorin	human	VASN	TIS up	2.023164	0.00009647377	
LPL	4023	lipoprotein lipase	human	LPL	TIS up	2.00903	0.007405055	
TIMP2	7077	TIMP metallopeptidase inhibitor 2	human	TIMP2	TIS up	2.000501	0.0001075953	
FBLN2	2199	fibulin 2	human	FBLN2	TIS up	1.997803	0.0000836985	
AK1	203	adenylate kinase 1	human	AK1	TIS up	1.996726	0.0000001135699	
RPL39L	116832	ribosomal protein L39 like	human	RPL39L	TIS up	1.987272	0.0001982421	
IL1RN	3557	interleukin 1 receptor antagonist	human	IL1RN	TIS up	1.987031	0.003859551	
PCOLCE	5118	procollagen C-endopeptidase enhancer	human	PCOLCE	TIS up	1.986316	0.0001907414	
DEPDC1	55635	DEP domain containing 1	human	DEPDC1	TIS down	-1.976631	0.00000000332195	
PBK	55872	PDZ binding kinase	human	PBK	TIS down	-1.969439	0.000000001184746	
SHCBP1	79801	SHC binding and spindle associated 1	human	SHCBP1	TIS down	-1.965474	0.000000000457361	
MKI67	4288	marker of proliferation Ki-67	human	MKI67	TIS down	-1.954775	0.0000000006665433	
SKA1	220134	spindle and kinetochore associated complex subunit 1	human	SKA1	TIS down	-1.950171	0.0000000004740455	
NUF2	83540	NUF2, NDC80 kinetochore complex component	human	NUF2	TIS down	-1.937274	0.0000000007957854	
CCL7	6354	C-C motif chemokine ligand 7	human	CCL7	TIS up	1.936549	0.0003813689	
TNFAIP2	7127	TNF alpha induced protein 2	human	TNFAIP2	TIS up	1.936488	0.002011242	
SPARC	6678	secreted protein acidic and cysteine rich	human	SPARC	TIS up	1.934996	0.0001170912	
ESCO2	157570	establishment of sister chromatid cohesion N-acetyltransferase 2	human	ESCO2	TIS down	-1.9312	0.00000004456533	
IL1B	3553	interleukin 1 beta	human	IL1B	TIS up	1.924753	0.0003089441	
LMNB1	4001	lamin B1	human	LMNB1	TIS down	-1.903047	0.00000000001650083	
CRYAB	1410	crystallin alpha B	human	CRYAB	TIS up	1.900734	0.0004713583	
CAV1	857	caveolin 1	human	CAV1	TIS up	1.897837	0.0005778543	
PRKG2	5593	protein kinase, cGMP-dependent, type II	human	PRKG2	TIS up	1.897746	0.0001974521	
OSMR	9180	oncostatin M receptor	human	OSMR	TIS up	1.893873	0.0000551561	
CEP55	55165	centrosomal protein 55	human	CEP55	TIS down	-1.878046	0.000006223672	
CD36	948	CD36 molecule	human	CD36	TIS up	1.855703	0.00001277396	
TIMP1	7076	TIMP metallopeptidase inhibitor 1	human	TIMP1	TIS up	1.851726	0.0002853523	
IFITM3	10410	interferon induced transmembrane protein 3	human	IFITM3	TIS up	1.8481	0.001070778	
RTP4	64108	receptor transporter protein 4	human	RTP4	TIS up	1.847614	0.002644966	
POLA1	5422	DNA polymerase alpha 1, catalytic subunit	human	POLA1	TIS down	-1.846575	0.00000000001678893	
NUSAP1	51203	nucleolar and spindle associated protein 1	human	NUSAP1	TIS down	-1.843965	0.00000001258516	
