	Symbol	Entrez	Description	Signature	SignatureID	Name	Ensembl	Genbank	Unigene	MetaSignature	Key	References	PubmedID	SelectionCriteria	Organism	HugoSymbol	Source	Database	taxid	ProbeID	logFC	P.Value	adj.P.Val	AveExpr	t	HomoloGeneRelease	ID	Function	EnsemblID	UnigeneID	GenbankID	Notes	NamePaper	FoldChange
1592704	DOCK7	85440	ATSC	ATSC		dedicator of cytokinesis 7				ATSC	Wong2008				human	DOCK7	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dock7	
1592705	DPT	1805	ATSC	ATSC		dermatopontin				ATSC	Wong2008				human	DPT	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dpt	
1592706	RCAN2	10231	ATSC	ATSC		regulator of calcineurin 2				ATSC	Wong2008				human	RCAN2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dscr1l1	
1592707	RCAN3	11123	ATSC	ATSC		RCAN family member 3				ATSC	Wong2008				human	RCAN3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dscr1l2	
1592708	DST	667	ATSC	ATSC		dystonin				ATSC	Wong2008				human	DST	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dst	
1592709	DTD1	92675	ATSC	ATSC		D-tyrosyl-tRNA deacylase 1				ATSC	Wong2008				human	DTD1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dtd1	
1592710	DUSP1	1843	ATSC	ATSC		dual specificity phosphatase 1				ATSC	Wong2008				human	DUSP1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dusp1	
1592711	DUSP2	1844	ATSC	ATSC		dual specificity phosphatase 2				ATSC	Wong2008				human	DUSP2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dusp2	
1592712	DUSP4	1846	ATSC	ATSC		dual specificity phosphatase 4				ATSC	Wong2008				human	DUSP4	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dusp4	
1592713	DUSP8	1850	ATSC	ATSC		dual specificity phosphatase 8				ATSC	Wong2008				human	DUSP8	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dusp8	
1592714	DYNLL2	140735	ATSC	ATSC		dynein light chain LC8-type 2				ATSC	Wong2008				human	DYNLL2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Dynll2	
1592715	EBI3	10148	ATSC	ATSC		Epstein-Barr virus induced 3				ATSC	Wong2008				human	EBI3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ebi3	
1592716	LPAR3	23566	ATSC	ATSC		lysophosphatidic acid receptor 3				ATSC	Wong2008				human	LPAR3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Edg7	
1592717	EFNB2	1948	ATSC	ATSC		ephrin-B2				ATSC	Wong2008				human	EFNB2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Efnb2	
1592718	EGR2	1959	ATSC	ATSC		early growth response 2				ATSC	Wong2008				human	EGR2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Egr2	
1592719	EHF	26298	ATSC	ATSC		ETS homologous factor				ATSC	Wong2008				human	EHF	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ehf	
1592720	EIF1	10209	ATSC	ATSC		eukaryotic translation initiation factor 1				ATSC	Wong2008				human	EIF1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Eif1	
1592721	ELL2	22936	ATSC	ATSC		elongation factor for RNA polymerase II 2				ATSC	Wong2008				human	ELL2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ell2	
1592722	ELOVL5	60481	ATSC	ATSC		ELOVL fatty acid elongase 5				ATSC	Wong2008				human	ELOVL5	Wong et al, Cell Stem Cell, 2008	Custom	9606														Elovl5	
1592723	ELOVL6	79071	ATSC	ATSC		ELOVL fatty acid elongase 6				ATSC	Wong2008				human	ELOVL6	Wong et al, Cell Stem Cell, 2008	Custom	9606														Elovl6	
1592724	ADGRL4	64123	ATSC	ATSC		adhesion G protein-coupled receptor L4				ATSC	Wong2008				human	ADGRL4	Wong et al, Cell Stem Cell, 2008	Custom	9606														Eltd1	
1592725	EMB	133418	ATSC	ATSC		embigin				ATSC	Wong2008				human	EMB	Wong et al, Cell Stem Cell, 2008	Custom	9606														Emb	
1592726	EMP1	2012	ATSC	ATSC		epithelial membrane protein 1				ATSC	Wong2008				human	EMP1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Emp1	
1592727	ADGRE1	2015	ATSC	ATSC		adhesion G protein-coupled receptor E1				ATSC	Wong2008				human	ADGRE1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Emr1	
1592728	ENAH	55740	ATSC	ATSC		enabled homolog (Drosophila)				ATSC	Wong2008				human	ENAH	Wong et al, Cell Stem Cell, 2008	Custom	9606														Enah	
1592729	ENG	2022	ATSC	ATSC		endoglin				ATSC	Wong2008				human	ENG	Wong et al, Cell Stem Cell, 2008	Custom	9606														Eng	
1592730	ENTPD1	953	ATSC	ATSC		ectonucleoside triphosphate diphosphohydrolase 1				ATSC	Wong2008				human	ENTPD1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Entpd1	
1592731	EPB41L4B	54566	ATSC	ATSC		erythrocyte membrane protein band 4.1 like 4B				ATSC	Wong2008				human	EPB41L4B	Wong et al, Cell Stem Cell, 2008	Custom	9606														Epb4.1l4b	
1592732	EPHA5	2044	ATSC	ATSC		EPH receptor A5				ATSC	Wong2008				human	EPHA5	Wong et al, Cell Stem Cell, 2008	Custom	9606														Epha5	
1592733	EPHA7	2045	ATSC	ATSC		EPH receptor A7				ATSC	Wong2008				human	EPHA7	Wong et al, Cell Stem Cell, 2008	Custom	9606														Epha7	
1592734	EPHB3	2049	ATSC	ATSC		EPH receptor B3				ATSC	Wong2008				human	EPHB3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ephb3	
1592735	EPS8	2059	ATSC	ATSC		epidermal growth factor receptor pathway substrate 8				ATSC	Wong2008				human	EPS8	Wong et al, Cell Stem Cell, 2008	Custom	9606														Eps8	
1592736	ERRFI1	54206	ATSC	ATSC		ERBB receptor feedback inhibitor 1				ATSC	Wong2008				human	ERRFI1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Errfi1	
1592737	ESAM	90952	ATSC	ATSC		endothelial cell adhesion molecule				ATSC	Wong2008				human	ESAM	Wong et al, Cell Stem Cell, 2008	Custom	9606														Esam1	
1592738	ETNK1	55500	ATSC	ATSC		ethanolamine kinase 1				ATSC	Wong2008				human	ETNK1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Etnk1	
1592739	ETS2	2114	ATSC	ATSC		ETS proto-oncogene 2, transcription factor				ATSC	Wong2008				human	ETS2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ets2	
1592740	EVL	51466	ATSC	ATSC		Enah/Vasp-like				ATSC	Wong2008				human	EVL	Wong et al, Cell Stem Cell, 2008	Custom	9606														Evl	
1592741	EYA2	2139	ATSC	ATSC		EYA transcriptional coactivator and phosphatase 2				ATSC	Wong2008				human	EYA2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Eya2	
1592742	F2R	2149	ATSC	ATSC		coagulation factor II thrombin receptor				ATSC	Wong2008				human	F2R	Wong et al, Cell Stem Cell, 2008	Custom	9606														F2r	
1592743	F2RL3	9002	ATSC	ATSC		F2R like thrombin/trypsin receptor 3				ATSC	Wong2008				human	F2RL3	Wong et al, Cell Stem Cell, 2008	Custom	9606														F2rl3	
1592744	F3	2152	ATSC	ATSC		coagulation factor III, tissue factor				ATSC	Wong2008				human	F3	Wong et al, Cell Stem Cell, 2008	Custom	9606														F3	
1592745	FBLN2	2199	ATSC	ATSC		fibulin 2				ATSC	Wong2008				human	FBLN2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fbln2	
1592746	FGF1	2246	ATSC	ATSC		fibroblast growth factor 1				ATSC	Wong2008				human	FGF1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fgf1	
1592747	FGF17	8822	ATSC	ATSC		fibroblast growth factor 17				ATSC	Wong2008				human	FGF17	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fgf17	
1592748	FHL1	2273	ATSC	ATSC		four and a half LIM domains 1				ATSC	Wong2008				human	FHL1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fhl1	
1592749	FKBP7	51661	ATSC	ATSC		FK506 binding protein 7				ATSC	Wong2008				human	FKBP7	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fkbp7	
1592750	FKBP9	11328	ATSC	ATSC		FK506 binding protein 9				ATSC	Wong2008				human	FKBP9	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fkbp9	
1592751	FLNB	2317	ATSC	ATSC		filamin B				ATSC	Wong2008				human	FLNB	Wong et al, Cell Stem Cell, 2008	Custom	9606														Flnb	
1592752	FLOT1	10211	ATSC	ATSC		flotillin 1				ATSC	Wong2008				human	FLOT1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Flot1	
1592753	FLT3	2322	ATSC	ATSC		fms related tyrosine kinase 3				ATSC	Wong2008				human	FLT3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Flt3	
1592754	FN1	2335	ATSC	ATSC		fibronectin 1				ATSC	Wong2008				human	FN1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fn1	
1592755	FNTB	2342	ATSC	ATSC		farnesyltransferase, CAAX box, beta				ATSC	Wong2008				human	FNTB	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fntb	
1592756	FOS	2353	ATSC	ATSC		FBJ murine osteosarcoma viral oncogene homolog				ATSC	Wong2008				human	FOS	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fos	
1592757	FOSB	2354	ATSC	ATSC		FBJ murine osteosarcoma viral oncogene homolog B				ATSC	Wong2008				human	FOSB	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fosb	
1592758	FOXA1	3169	ATSC	ATSC		forkhead box A1				ATSC	Wong2008				human	FOXA1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Foxa1	
1592759	FOXA3	3171	ATSC	ATSC		forkhead box A3				ATSC	Wong2008				human	FOXA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Foxa3	
1592760	FOXC1	2296	ATSC	ATSC		forkhead box C1				ATSC	Wong2008				human	FOXC1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Foxc1	
1592761	FOXN1	8456	ATSC	ATSC		forkhead box N1				ATSC	Wong2008				human	FOXN1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Foxn1	
1592762	FOXP1	27086	ATSC	ATSC		forkhead box P1				ATSC	Wong2008				human	FOXP1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Foxp1	
1592763	FOXQ1	94234	ATSC	ATSC		forkhead box Q1				ATSC	Wong2008				human	FOXQ1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Foxq1	
1592764	FRMD6	122786	ATSC	ATSC		FERM domain containing 6				ATSC	Wong2008				human	FRMD6	Wong et al, Cell Stem Cell, 2008	Custom	9606														Frmd6	
1592765	FSTL1	11167	ATSC	ATSC		follistatin like 1				ATSC	Wong2008				human	FSTL1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fstl1	
1592766	FYN	2534	ATSC	ATSC		FYN proto-oncogene, Src family tyrosine kinase				ATSC	Wong2008				human	FYN	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fyn	
1592767	FZD2	2535	ATSC	ATSC		frizzled class receptor 2				ATSC	Wong2008				human	FZD2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Fzd2	
1592768	GABARAPL1	23710	ATSC	ATSC		GABA(A) receptor-associated protein like 1				ATSC	Wong2008				human	GABARAPL1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gabarapl1	
1592769	GABBR1	2550	ATSC	ATSC		gamma-aminobutyric acid type B receptor subunit 1				ATSC	Wong2008				human	GABBR1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gabbr1	
1592770	GABRA3	2556	ATSC	ATSC		gamma-aminobutyric acid type A receptor alpha3 subunit				ATSC	Wong2008				human	GABRA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gabra3	
1592771	GABRG1	2565	ATSC	ATSC		gamma-aminobutyric acid type A receptor gamma1 subunit				ATSC	Wong2008				human	GABRG1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gabrg1	
1592772	GABRR1	2569	ATSC	ATSC		gamma-aminobutyric acid type A receptor rho1 subunit				ATSC	Wong2008				human	GABRR1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gabrr1	
1592773	GADD45G	10912	ATSC	ATSC		growth arrest and DNA damage inducible gamma				ATSC	Wong2008				human	GADD45G	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gadd45g	
1592774	GATA2	2624	ATSC	ATSC		GATA binding protein 2				ATSC	Wong2008				human	GATA2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gata2	
1592775	GATA3	2625	ATSC	ATSC		GATA binding protein 3				ATSC	Wong2008				human	GATA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gata3	
1592776	GATM	2628	ATSC	ATSC		glycine amidinotransferase				ATSC	Wong2008				human	GATM	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gatm	
1592777	GBP2	2634	ATSC	ATSC		guanylate binding protein 2				ATSC	Wong2008				human	GBP2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gbp2	
1592778	GCAT	23464	ATSC	ATSC		glycine C-acetyltransferase				ATSC	Wong2008				human	GCAT	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gcat	
1592779	GCH1	2643	ATSC	ATSC		GTP cyclohydrolase 1				ATSC	Wong2008				human	GCH1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gch1	
1592780	GEM	2669	ATSC	ATSC		GTP binding protein overexpressed in skeletal muscle				ATSC	Wong2008				human	GEM	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gem	
1592781	GJA1	2697	ATSC	ATSC		gap junction protein alpha 1				ATSC	Wong2008				human	GJA1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gja1	
1592782	GJE1	100126572	ATSC	ATSC		gap junction protein epsilon 1				ATSC	Wong2008				human	GJE1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gje1	
1592783	GKAP1	80318	ATSC	ATSC		G kinase anchoring protein 1				ATSC	Wong2008				human	GKAP1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gkap1	
1592784	GLIS2	84662	ATSC	ATSC		GLIS family zinc finger 2				ATSC	Wong2008				human	GLIS2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Glis2	
1592785	GLRA3	8001	ATSC	ATSC		glycine receptor alpha 3				ATSC	Wong2008				human	GLRA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Glra3	
1592786	GLUL	2752	ATSC	ATSC		glutamate-ammonia ligase				ATSC	Wong2008				human	GLUL	Wong et al, Cell Stem Cell, 2008	Custom	9606														Glul	
1592787	GNAQ	2776	ATSC	ATSC		guanine nucleotide binding protein (G protein), q polypeptide				ATSC	Wong2008				human	GNAQ	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gnaq	
1592788	GNB5	10681	ATSC	ATSC		guanine nucleotide binding protein (G protein), beta 5				ATSC	Wong2008				human	GNB5	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gnb5	
1592789	GNGT2	2793	ATSC	ATSC		guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2				ATSC	Wong2008				human	GNGT2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gngt2	
1592790	GNRHR	2798	ATSC	ATSC		gonadotropin releasing hormone receptor				ATSC	Wong2008				human	GNRHR	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gnrhr	
1592791	HCAR2	338442	ATSC	ATSC		hydroxycarboxylic acid receptor 2				ATSC	Wong2008				human	HCAR2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gpr109a	
1592792	ADGRA3	166647	ATSC	ATSC		adhesion G protein-coupled receptor A3				ATSC	Wong2008				human	ADGRA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gpr125	
1592793	ADGRD1	283383	ATSC	ATSC		adhesion G protein-coupled receptor D1				ATSC	Wong2008				human	ADGRD1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gpr133	
1592794	ADGRG1	9289	ATSC	ATSC		adhesion G protein-coupled receptor G1				ATSC	Wong2008				human	ADGRG1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gpr56	
1592795	GPR65	8477	ATSC	ATSC		G protein-coupled receptor 65				ATSC	Wong2008				human	GPR65	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gpr65	
1592796	GPRC5B	51704	ATSC	ATSC		G protein-coupled receptor class C group 5 member B				ATSC	Wong2008				human	GPRC5B	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gprc5b	
1592797	GPX7	2882	ATSC	ATSC		glutathione peroxidase 7				ATSC	Wong2008				human	GPX7	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gpx7	
1592798	GRASP	160622	ATSC	ATSC		GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein				ATSC	Wong2008				human	GRASP	Wong et al, Cell Stem Cell, 2008	Custom	9606														Grasp	
1592799	GREM1	26585	ATSC	ATSC		gremlin 1, DAN family BMP antagonist				ATSC	Wong2008				human	GREM1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Grem1	
1592800	GRIA2	2891	ATSC	ATSC		glutamate ionotropic receptor AMPA type subunit 2				ATSC	Wong2008				human	GRIA2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gria2	
1592801	GRIA3	2892	ATSC	ATSC		glutamate ionotropic receptor AMPA type subunit 3				ATSC	Wong2008				human	GRIA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gria3	
1592802	GRID1	2894	ATSC	ATSC		glutamate ionotropic receptor delta type subunit 1				ATSC	Wong2008				human	GRID1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Grid1	
1592803	GRIK1	2897	ATSC	ATSC		glutamate ionotropic receptor kainate type subunit 1				ATSC	Wong2008				human	GRIK1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Grik1	
1592804	ARHGAP32	9743	ATSC	ATSC		Rho GTPase activating protein 32				ATSC	Wong2008				human	ARHGAP32	Wong et al, Cell Stem Cell, 2008	Custom	9606														Grit	
1592805	ARHGAP35	2909	ATSC	ATSC		Rho GTPase activating protein 35				ATSC	Wong2008				human	ARHGAP35	Wong et al, Cell Stem Cell, 2008	Custom	9606														Grlf1	
1592806	GSX1	219409	ATSC	ATSC		GS homeobox 1				ATSC	Wong2008				human	GSX1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gsh1	
1592807	GSTA4	2941	ATSC	ATSC		glutathione S-transferase alpha 4				ATSC	Wong2008				human	GSTA4	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gsta4	
1592808	GSTK1	373156	ATSC	ATSC		glutathione S-transferase kappa 1				ATSC	Wong2008				human	GSTK1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Gstk1	
1592809	HLA-DMA	3108	ATSC	ATSC		major histocompatibility complex, class II, DM alpha				ATSC	Wong2008				human	HLA-DMA	Wong et al, Cell Stem Cell, 2008	Custom	9606														H2-dma	
1592810	HLA-A	3105	ATSC	ATSC		major histocompatibility complex, class I, A				ATSC	Wong2008				human	HLA-A	Wong et al, Cell Stem Cell, 2008	Custom	9606														H2-q7	
1592811	HBEGF	1839	ATSC	ATSC		heparin binding EGF like growth factor				ATSC	Wong2008				human	HBEGF	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hbegf	
1592812	HDAC11	79885	ATSC	ATSC		histone deacetylase 11				ATSC	Wong2008				human	HDAC11	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hdac11	
1592813	HLF	3131	ATSC	ATSC		hepatic leukemia factor				ATSC	Wong2008				human	HLF	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hlf	
1592814	HLX	3142	ATSC	ATSC		H2.0-like homeobox				ATSC	Wong2008				human	HLX	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hlx1	
1592815	HMG20A	10363	ATSC	ATSC		high mobility group 20A				ATSC	Wong2008				human	HMG20A	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hmg20a	
1592816	HNF4A	3172	ATSC	ATSC		hepatocyte nuclear factor 4 alpha				ATSC	Wong2008				human	HNF4A	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hnf4a	
1592817	HOMER2	9455	ATSC	ATSC		homer scaffolding protein 2				ATSC	Wong2008				human	HOMER2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Homer2	
1592818	HOXA10	3206	ATSC	ATSC		homeobox A10				ATSC	Wong2008				human	HOXA10	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hoxa10	
1592819	HOXA2	3199	ATSC	ATSC		homeobox A2				ATSC	Wong2008				human	HOXA2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hoxa2	
1592820	HOXA3	3200	ATSC	ATSC		homeobox A3				ATSC	Wong2008				human	HOXA3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hoxa3	
1592821	HOXA5	3202	ATSC	ATSC		homeobox A5				ATSC	Wong2008				human	HOXA5	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hoxa5	
1592822	HOXA9	3205	ATSC	ATSC		homeobox A9				ATSC	Wong2008				human	HOXA9	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hoxa9	
1592823	HOXC4	3221	ATSC	ATSC		homeobox C4				ATSC	Wong2008				human	HOXC4	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hoxc4	
1592824	HPGD	3248	ATSC	ATSC		hydroxyprostaglandin dehydrogenase 15-(NAD)				ATSC	Wong2008				human	HPGD	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hpgd	
1592825	RIDA	10247	ATSC	ATSC		reactive intermediate imine deaminase A homolog				ATSC	Wong2008				human	RIDA	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hrsp12	
1592826	HSPA1A	3303	ATSC	ATSC		heat shock protein family A (Hsp70) member 1A				ATSC	Wong2008				human	HSPA1A	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hspa1a	
1592827	HSPA1B	3304	ATSC	ATSC		heat shock protein family A (Hsp70) member 1B				ATSC	Wong2008				human	HSPA1B	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hspa1a	
1592828	HSPA1B	3304	ATSC	ATSC		heat shock protein family A (Hsp70) member 1B				ATSC	Wong2008				human	HSPA1B	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hspa1b	
1592829	HSPA2	3306	ATSC	ATSC		heat shock protein family A (Hsp70) member 2				ATSC	Wong2008				human	HSPA2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hspa2	
1592830	HSPB8	26353	ATSC	ATSC		heat shock protein family B (small) member 8				ATSC	Wong2008				human	HSPB8	Wong et al, Cell Stem Cell, 2008	Custom	9606														Hspb8	
1592831	HTR2C	3358	ATSC	ATSC		5-hydroxytryptamine receptor 2C				ATSC	Wong2008				human	HTR2C	Wong et al, Cell Stem Cell, 2008	Custom	9606														Htr2c	
1592832	HTRA1	5654	ATSC	ATSC		HtrA serine peptidase 1				ATSC	Wong2008				human	HTRA1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Htra1	
1592833	ICAM1	3383	ATSC	ATSC		intercellular adhesion molecule 1				ATSC	Wong2008				human	ICAM1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Icam1	
1592834	ICK	22858	ATSC	ATSC		intestinal cell (MAK-like) kinase				ATSC	Wong2008				human	ICK	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ick	
1592835	ID1	3397	ATSC	ATSC		inhibitor of DNA binding 1, dominant negative helix-loop-helix protein				ATSC	Wong2008				human	ID1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Id1	
1592836	ID2	3398	ATSC	ATSC		inhibitor of DNA binding 2, dominant negative helix-loop-helix protein				ATSC	Wong2008				human	ID2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Id2	
1592837	ID4	3400	ATSC	ATSC		inhibitor of DNA binding 4, dominant negative helix-loop-helix protein				ATSC	Wong2008				human	ID4	Wong et al, Cell Stem Cell, 2008	Custom	9606														Id4	
1592838	IER2	9592	ATSC	ATSC		immediate early response 2				ATSC	Wong2008				human	IER2	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ier2	
1592839	IER3	8870	ATSC	ATSC		immediate early response 3				ATSC	Wong2008				human	IER3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ier3	
1592840	IFI16	3428	ATSC	ATSC		interferon, gamma-inducible protein 16				ATSC	Wong2008				human	IFI16	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifi203	
1592841	IFI44	10561	ATSC	ATSC		interferon induced protein 44				ATSC	Wong2008				human	IFI44	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifi44	
1592842	IFIH1	64135	ATSC	ATSC		interferon induced, with helicase C domain 1				ATSC	Wong2008				human	IFIH1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifih1	
1592843	IFIT1B	439996	ATSC	ATSC		interferon induced protein with tetratricopeptide repeats 1B				ATSC	Wong2008				human	IFIT1B	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifit1	
1592844	IFITM3	10410	ATSC	ATSC		interferon induced transmembrane protein 3				ATSC	Wong2008				human	IFITM3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifitm3	
1592845	IFNG	3458	ATSC	ATSC		interferon, gamma				ATSC	Wong2008				human	IFNG	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifng	
1592846	IFNGR1	3459	ATSC	ATSC		interferon gamma receptor 1				ATSC	Wong2008				human	IFNGR1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Ifngr1	
1592847	IGF2R	3482	ATSC	ATSC		insulin like growth factor 2 receptor				ATSC	Wong2008				human	IGF2R	Wong et al, Cell Stem Cell, 2008	Custom	9606														Igf2r	
1592848	IGFBP3	3486	ATSC	ATSC		insulin like growth factor binding protein 3				ATSC	Wong2008				human	IGFBP3	Wong et al, Cell Stem Cell, 2008	Custom	9606														Igfbp3	
1592849	IGFBP5	3488	ATSC	ATSC		insulin like growth factor binding protein 5				ATSC	Wong2008				human	IGFBP5	Wong et al, Cell Stem Cell, 2008	Custom	9606														Igfbp5	
1592850	IGFBP7	3490	ATSC	ATSC		insulin like growth factor binding protein 7				ATSC	Wong2008				human	IGFBP7	Wong et al, Cell Stem Cell, 2008	Custom	9606														Igfbp7	
1592851	IGSF10	285313	ATSC	ATSC		immunoglobulin superfamily member 10				ATSC	Wong2008				human	IGSF10	Wong et al, Cell Stem Cell, 2008	Custom	9606														Igsf10	
1592852	IL10RB	3588	ATSC	ATSC		interleukin 10 receptor subunit beta				ATSC	Wong2008				human	IL10RB	Wong et al, Cell Stem Cell, 2008	Custom	9606														Il10rb	
1592853	IL11RA	3590	ATSC	ATSC		interleukin 11 receptor subunit alpha				ATSC	Wong2008				human	IL11RA	Wong et al, Cell Stem Cell, 2008	Custom	9606														Il11ra2	
1592854	IL15	3600	ATSC	ATSC		interleukin 15				ATSC	Wong2008				human	IL15	Wong et al, Cell Stem Cell, 2008	Custom	9606														Il15	
1592855	IL18	3606	ATSC	ATSC		interleukin 18				ATSC	Wong2008				human	IL18	Wong et al, Cell Stem Cell, 2008	Custom	9606														Il18	
1592856	IL18R1	8809	ATSC	ATSC		interleukin 18 receptor 1				ATSC	Wong2008				human	IL18R1	Wong et al, Cell Stem Cell, 2008	Custom	9606														Il18r1	
1592857	IL1B	3553	ATSC	ATSC		interleukin 1 beta				ATSC	Wong2008				human	IL1B	Wong et al, Cell Stem Cell, 2008	Custom	9606														Il1b	
